Longitude,Latitude,Pixel,Scan
23.4729389,0.372032232,0,0
23.4739459,0.372012777,100,0
23.474953,0.371993322,200,0
23.47596,0.371973866,300,0
23.476967,0.37195441,400,0
23.477974,0.371934954,500,0
23.478981,0.371915497,600,0
23.479988,0.37189604,700,0
23.480995,0.371876582,800,0
23.482002,0.371857124,900,0
23.483009,0.371837666,1000,0
23.484016,0.371818208,1100,0
23.485023,0.371798749,1200,0
23.48603,0.371779289,1300,0
23.4870369,0.371759829,1400,0
23.4880439,0.371740369,1500,0
23.4890509,0.371720909,1600,0
23.4900578,0.371701448,1700,0
23.4910648,0.371681986,1800,0
23.4920717,0.371662525,1900,0
23.4930787,0.371643062,2000,0
23.4940856,0.3716236,2100,0
23.4950925,0.371604137,2200,0
23.4960994,0.371584674,2300,0
23.4971064,0.37156521,2400,0
23.4981133,0.371545746,2500,0
23.4991202,0.371526282,2600,0
23.5001271,0.371506817,2700,0
23.501134,0.371487352,2800,0
23.5021409,0.371467886,2900,0
23.5031478,0.37144842,3000,0
23.5041547,0.371428954,3100,0
23.5051615,0.371409487,3200,0
23.5061684,0.37139002,3300,0
23.5071753,0.371370553,3400,0
23.5081821,0.371351085,3500,0
23.509189,0.371331616,3600,0
23.5101959,0.371312148,3700,0
23.5112027,0.371292679,3800,0
23.5122095,0.371273209,3900,0
23.5132164,0.371253739,4000,0
23.5142232,0.371234269,4100,0
23.5152301,0.371214798,4200,0
23.5162369,0.371195327,4300,0
23.5172437,0.371175856,4400,0
23.5182505,0.371156384,4500,0
23.5192573,0.371136912,4600,0
23.5202641,0.371117439,4700,0
23.5212709,0.371097967,4800,0
23.5222777,0.371078493,4900,0
23.5232845,0.371059019,5000,0
23.5242913,0.371039545,5100,0
23.5252981,0.371020071,5200,0
23.5263049,0.371000596,5300,0
23.5273117,0.37098112,5400,0
23.5283184,0.370961645,5500,0
23.5293252,0.370942169,5600,0
23.5303319,0.370922692,5700,0
23.5313387,0.370903215,5800,0
23.5323455,0.370883738,5900,0
23.5333522,0.37086426,6000,0
23.5343589,0.370844782,6100,0
23.5353657,0.370825304,6200,0
23.5363724,0.370805825,6300,0
23.5373791,0.370786345,6400,0
23.5383859,0.370766866,6500,0
23.5393926,0.370747386,6600,0
23.5403993,0.370727905,6700,0
23.541406,0.370708424,6800,0
23.5424127,0.370688943,6900,0
23.5434194,0.370669462,7000,0
23.5444261,0.370649979,7100,0
23.5454328,0.370630497,7200,0
23.5464395,0.370611014,7300,0
23.5474462,0.370591531,7400,0
23.5484529,0.370572047,7500,0
23.5494595,0.370552563,7600,0
23.5504662,0.370533079,7700,0
23.5514729,0.370513594,7800,0
23.5524795,0.370494109,7900,0
23.5534862,0.370474623,8000,0
23.5544929,0.370455137,8100,0
23.5554995,0.370435651,8200,0
23.5565062,0.370416164,8300,0
23.5575128,0.370396676,8400,0
23.5585194,0.370377189,8500,0
23.5595261,0.370357701,8600,0
23.5605327,0.370338212,8700,0
23.5615393,0.370318723,8800,0
23.5625459,0.370299234,8900,0
23.5635526,0.370279745,9000,0
23.5645592,0.370260255,9100,0
23.5655658,0.370240764,9200,0
23.5665724,0.370221273,9300,0
23.567579,0.370201782,9400,0
23.5685856,0.37018229,9500,0
23.5695922,0.370162798,9600,0
23.5705988,0.370143306,9700,0
23.5716053,0.370123813,9800,0
23.5726119,0.37010432,9900,0
23.5736185,0.370084826,10000,0
23.5746251,0.370065332,10100,0
23.5756316,0.370045837,10200,0
23.5766382,0.370026342,10300,0
23.5776448,0.370006847,10400,0
23.5786513,0.369987351,10500,0
23.5796579,0.369967855,10600,0
23.5806644,0.369948359,10700,0
23.581671,0.369928862,10800,0
23.5826775,0.369909364,10900,0
23.583684,0.369889867,11000,0
23.5846906,0.369870368,11100,0
23.5856971,0.36985087,11200,0
23.5867036,0.369831371,11300,0
23.5877102,0.369811871,11400,0
23.5887167,0.369792372,11500,0
23.5897232,0.369772871,11600,0
23.5907297,0.369753371,11700,0
23.5917362,0.36973387,11800,0
23.5927427,0.369714368,11900,0
23.5937391,0.369695062,11999,0
23.4729175,0.371012287,0,100
23.4739245,0.370992832,100,100
23.4749316,0.370973377,200,100
23.4759386,0.370953921,300,100
23.4769456,0.370934465,400,100
23.4779526,0.370915009,500,100
23.4789596,0.370895552,600,100
23.4799666,0.370876095,700,100
23.4809736,0.370856638,800,100
23.4819806,0.37083718,900,100
23.4829876,0.370817722,1000,100
23.4839946,0.370798263,1100,100
23.4850016,0.370778804,1200,100
23.4860086,0.370759345,1300,100
23.4870155,0.370739885,1400,100
23.4880225,0.370720425,1500,100
23.4890294,0.370700964,1600,100
23.4900364,0.370681504,1700,100
23.4910433,0.370662042,1800,100
23.4920503,0.370642581,1900,100
23.4930572,0.370623119,2000,100
23.4940642,0.370603656,2100,100
23.4950711,0.370584193,2200,100
23.496078,0.37056473,2300,100
23.4970849,0.370545266,2400,100
23.4980918,0.370525802,2500,100
23.4990987,0.370506338,2600,100
23.5001057,0.370486873,2700,100
23.5011126,0.370467408,2800,100
23.5021194,0.370447943,2900,100
23.5031263,0.370428477,3000,100
23.5041332,0.37040901,3100,100
23.5051401,0.370389544,3200,100
23.506147,0.370370077,3300,100
23.5071538,0.370350609,3400,100
23.5081607,0.370331141,3500,100
23.5091676,0.370311673,3600,100
